GDP_UK,Terrorism_fatalities_UK
130.6719462,20
148.1138963,110
169.965035,368
192.5379716,210
206.1313698,234
241.7566372,245
232.6145553,264
263.0664574,103
335.8830297,81
438.9940703,133
564.9477109,115
540.7656752,86
515.0489168,95
489.6180082,77
461.4870976,69
489.2851643,64
601.4526532,63
745.1626083,104
910.1227321,372
926.8848168,66
1093.169389,77
1142.797178,88
1179.65953,94
1061.388722,3
1140.489746,66
1346.184314,11
1421.619345,15
1561.807466,23
1655.061279,45
1689.289759,7
1666.126494,7
1648.658414,8
1785.843825,2
2056.612245,2
2422.958623,0
2544.805455,57
2709.911684,0
3092.821128,4
2931.501838,0
2417.638261,3
2491.397494,0
2666.403005,1
2706.340967,1
2786.315215,4
3065.22328,0
